TIME,01/05/18,02/05/18,03/05/18,04/05/18,05/05/18,06/05/18,07/05/18,08/05/18,09/05/18,10/05/18,11/05/18,12/05/18,13/05/18,14/05/18,15/05/18,16/05/18,17/05/18,18/05/18,19/05/18,20/05/18,21/05/18,22/05/18,23/05/18,24/05/18,25/05/18,26/05/18,27/05/18,28/05/18,29/05/18,30/05/18,31/05/18,,Modal Day,,,Minutes,Hours
16:00,phd admin,relaxing,soc rel,phd work,travel,phd work,tv,phd work,projects,phd admin,relaxing,phd admin,phd admin,phd work,phd admin,phd work,soc rec,travel,phd work,tv,phd work,phd work,phd admin,phd admin,phd admin,life admin,family time,family time,phd work,phd admin,qt,,phd admin,,,,
16:20,phd work,phd work,soc rel,phd work,travel,phd work,qt,phd work,projects,phd admin,phd work,phd admin,phd admin,relaxing,phd admin,phd work,soc rec,travel,qt,tv,shopping,phd admin,phd admin,phd admin,phd admin,relaxing,family time,family time,phd work,phd admin,qt,,phd admin,,,,
16:40,relaxing,phd work,soc rel,phd work,phd work,phd work,qt,phd work,projects,phd admin,phd work,phd admin,tv,phd work,phd admin,travel,soc rec,travel,tv,qt,shopping,phd admin,phd admin,relaxing,relaxing,relaxing,family time,family time,phd work,phd admin,food,,phd work,,,,
17:00,phd work,phd work,soc rel,phd work,phd work,projects,travel,phd work,projects,qt,soc rec,phd admin,qt,phd work,soc rel,travel,soc rec,travel,tv,food,travel,phd admin,phd admin,phd admin,projects,tv,family time,family time,relaxing,phd admin,qt,,phd work,,,,
17:20,phd work,phd work,phd work,soc rec,phd work,qt,travel,relaxing,phd work,soc rel,soc rec,phd admin,qt,travel,soc rel,travel,soc rec,food,phd work,food,relaxing,phd admin,soc rel,phd admin,soc rec,tv,family time,family time,phd work,travel,qt,,phd work,,,,
17:40,relaxing,phd work,phd work,soc rec,phd work,qt,phd work,phd work,shopping,food,board games,soc rel,food,shopping,relaxing,outreach,phd work,soc rel,phd work,qt,phd work,phd admin,phd admin,food,soc rec,tv,family time,family time,phd work,life admin,qt,,phd work,,,,
18:00,relaxing,shopping,phd work,soc rec,travel,projects,phd work,phd work,travel,phd admin,board games,qt,food,tv,relaxing,outreach,phd work,soc rel,phd work,travel,phd work,phd admin,phd admin,phd admin,board games,tv,family time,food,relaxing,life admin,qt,,phd work,,,,
18:20,soc rel,travel,phd work,soc rec,travel,projects,phd work,relaxing,soc rec,soc rel,board games,qt,food,tv,soc rel,outreach,d&d,soc rel,phd work,tv,food,soc rel,travel,phd admin,board games,food,family time,food,soc rel,food,qt,,soc rel,,,,
18:40,soc rel,food,travel,travel,travel,qt,phd work,soc rel,d&d,travel,board games,tv,qt,tv,food,outreach,d&d,soc rel,qt,tv,food,food,food,soc rel,board games,food,housework,family time,food,food,qt,,food,,,,
19:00,food,food,food,projects,relaxing,qt,travel,food,d&d,soc rec,board games,food,projects,tv,soc rec,outreach,d&d,soc rel,qt,travel,food,soc rec,soc rel,travel,soc rec,food,housework,family time,soc rec,housework,qt,,food,,,,
19:20,soc rec,food,food,projects,food,qt,travel,soc rec,d&d,d&d,soc rec,food,housework,tv,soc rec,outreach,d&d,d&d,tv,travel,projects,soc rec,housework,soc rel,board games,family time,family time,family time,soc rec,life admin,qt,,soc rec,,,,
19:40,soc rec,housework,food,life admin,food,food,travel,soc rec,d&d,d&d,travel,qt,housework,tv,soc rec,outreach,d&d,d&d,food,phd work,d&d,soc rec,tv,soc rel,board games,tv,family time,family time,soc rec,travel,qt,,soc rec,,,,
20:00,soc rec,soc rel,soc rel,soc rel,tv,food,food,soc rec,d&d,d&d,shopping,food,housework,travel,soc rec,outreach,d&d,d&d,food,phd work,d&d,soc rec,projects,soc rel,board games,tv,family time,family time,soc rec,travel,qt,,soc rec,,,,
20:20,soc rec,soc rel,soc rel,soc rel,housework,food,food,soc rec,d&d,d&d,food,food,relaxing,exercise,soc rec,outreach,d&d,d&d,food,travel,d&d,soc rec,projects,soc rel,board games,tv,tv,family time,soc rec,travel,shopping,,soc rec,,,,
20:40,soc rec,soc rel,soc rel,food,travel,qt,video games,soc rec,d&d,d&d,food,housework,video games,exercise,soc rec,outreach,d&d,d&d,tv,travel,d&d,soc rec,projects,soc rel,travel,tv,tv,family time,soc rec,travel,travel,,soc rec,,,,
21:00,soc rel,soc rel,soc rel,food,qt,food,video games,travel,d&d,d&d,soc rel,soc rel,video games,hygiene,shopping,outreach,d&d,d&d,tv,travel,d&d,shopping,projects,life admin,travel,tv,tv,family time,travel,travel,food,,soc rel,,,,
21:20,soc rel,soc rel,soc rel,food,qt,housework,video games,soc rel,d&d,d&d,soc rel,board games,video games,food,travel,outreach,d&d,d&d,qt,travel,d&d,travel,projects,exercise,food,family time,family time,family time,soc rel,travel,life admin,,soc rel,,,,
21:40,soc rel,soc rel,soc rel,soc rel,tv,tv,video games,soc rel,d&d,d&d,soc rel,board games,video games,qt,food,travel,d&d,d&d,qt,travel,d&d,soc rel,projects,exercise,food,family time,hygiene,family time,soc rel,travel,life admin,,soc rel,,,,
22:00,soc rel,soc rel,housework,soc rel,tv,tv,video games,soc rel,d&d,soc rec,soc rel,board games,video games,qt,food,travel,d&d,d&d,qt,soc rel,d&d,soc rel,projects,hygiene,soc rec,family time,reading,family time,soc rel,travel,food,,soc rel,,,,
22:20,soc rel,qt,soc rel,soc rel,tv,tv,video games,projects,travel,soc rec,soc rel,board games,video games,food,food,housework,d&d,d&d,tv,housework,d&d,soc rel,projects,housework,soc rec,relaxing,reading,family time,life admin,travel,food,,soc rel,,,,
22:40,hygiene,qt,relaxing,soc rel,tv,tv,hygiene,projects,soc rel,housework,qt,board games,video games,food,housework,food,travel,d&d,tv,housework,soc rel,soc rel,projects,projects,soc rel,relaxing,relaxing,family time,life admin,soc rel,tv,,soc rel,,,,
23:00,housework,qt,projects,video games,qt,qt,relaxing,projects,housework,soc rel,qt,board games,video games,soc rel,housework,soc rel,soc rel,d&d,tv,projects,soc rel,projects,projects,projects,soc rel,tv,tv,reading,projects,soc rel,tv,,projects,,,,
23:20,relaxing,qt,life admin,video games,qt,qt,projects,projects,soc rel,soc rel,qt,soc rel,video games,soc rel,projects,soc rel,soc rel,d&d,tv,relaxing,soc rel,projects,projects,projects,soc rel,tv,tv,sleep,relaxing,projects,tv,,soc rel,,,,
23:40,relaxing,qt,reading,video games,qt,qt,phd work,reading,projects,soc rel,qt,qt,relaxing,soc rel,relaxing,tv,projects,soc rel,tv,relaxing,soc rel,projects,relaxing,projects,tv,tv,qt,sleep,reading,projects,tv,,qt,,,,
