TIME,01/10/18,02/10/18,03/10/18,04/10/18,05/10/18,06/10/18,07/10/18,08/10/18,09/10/18,10/10/18,11/10/18,12/10/18,13/10/18,14/10/18,15/10/18,16/10/18,17/10/18,18/10/18,19/10/18,20/10/18,21/10/18,22/10/18,23/10/18,24/10/18,25/10/18,26/10/18,27/10/18,28/10/18,29/10/18,30/10/18,31/10/18,,Modal Day,,,Minutes,Hour
12:40,food,soc rel,video games,food,soc rel,relaxing,qt,outreach,soc rel,soc rel,travel,life admin,food,sleep,sleep,food,travel,shopping,phd work,qt,tv,soc rec,food,food,soc rel,food,housework,qt,soc rel,soc rel,tv,,food,,,,
13:00,phd work,phd work,travel,soc rel,phd work,relaxing,qt,outreach,soc rel,soc rel,travel,food,food,sleep,sleep,food,travel,food,projects,food,qt,food,soc rel,soc rel,soc rel,soc rel,housework,qt,phd work,soc rel,life admin,,soc rel,,,,
13:20,phd work,phd work,travel,phd work,phd work,tv,housework,food,phd work,phd admin,travel,food,phd work,sleep,sleep,soc rel,travel,soc rel,travel,food,qt,soc rec,phd work,phd work,phd admin,soc rel,food,qt,phd work,phd work,life admin,,phd work,,,,
13:40,phd work,phd work,travel,phd work,phd work,food,food,outreach,phd work,phd admin,travel,food,phd work,sleep,sleep,life admin,travel,PhD Admin,food,projects,qt,phd work,phd work,phd work,phd work,phd work,food,qt,phd work,phd work,life admin,,phd work,,,,
14:00,relaxing,phd work,travel,phd work,phd work,qt,tv,outreach,phd work,phd admin,travel,tv,projects,sleep,sleep,tv,travel,PhD Admin,qt,projects,qt,projects,phd work,phd admin,phd work,phd work,soc rel,qt,phd admin,phd work,travel,,phd work,,,,
14:20,phd work,phd work,phd work,phd work,phd work,projects,tv,outreach,phd work,phd admin,travel,tv,tv,sleep,sleep,tv,travel,PhD Admin,travel,travel,qt,projects,phd work,phd admin,phd work,phd work,qt,qt,phd work,phd admin,travel,,phd work,,,,
14:40,phd work,phd work,phd work,phd work,phd work,phd work,food,outreach,phd work,phd admin,food,sleep,tv,sleep,sleep,tv,travel,PhD Admin,projects,life admin,qt,projects,phd work,phd admin,phd work,phd work,video games,qt,phd work,phd admin,travel,,phd work,,,,
15:00,phd work,soc rec,phd work,phd work,phd work,phd work,food,outreach,phd work,phd admin,food,sleep,life admin,food,hygiene,travel,travel,phd work,projects,shopping,qt,projects,phd work,phd admin,phd work,phd work,video games,qt,phd work,phd admin,travel,,phd work,,,,
15:20,relaxing,soc rec,phd work,phd work,phd work,phd work,food,outreach,soc rec,phd admin,travel,sleep,travel,food,food,travel,travel,phd work,phd admin,shopping,qt,phd work,phd work,phd admin,phd work,phd work,video games,food,phd work,phd admin,travel,,phd work,,,,
15:40,phd work,soc rec,phd work,phd work,travel,phd work,board games,phd work,phd work,phd admin,travel,sleep,phd work,hygiene,tv,travel,travel,phd work,phd admin,travel,food,soc rec,phd work,phd work,phd work,phd work,video games,food,phd work,phd admin,travel,,phd work,,,,
